id,"sid","cve","os","org","flavor"
1,"116-291","CVE-2008-2136","Linux","linux","2.6"
2,"13448","CVE-2008-0083","Windows","microsoft","XP"
3,"13449","CVE-2008-0083","Windows","microsoft","XP"
4,"13594","CVE-2006-6296","Windows","microsoft","2000"
5,"13668","CVE-2008-1086","Windows","microsoft","XP"
6,"13670","CVE-2008-1086","Windows","microsoft","XP"
7,"13672","CVE-2008-1086","Windows","microsoft","XP"
8,"13674","CVE-2008-1086","Windows","microsoft","XP"
9,"13678","CVE-2008-1087","Windows","microsoft","XP"
10,"13828","CVE-2007-0675","Windows","microsoft","Vista"
11,"13830","CVE-2007-0675","Windows","microsoft","Vista"
12,"13832","CVE-2007-0675","Windows","microsoft","Vista"
13,"14255","CVE-2008-3008","Windows","microsoft","XP"
14,"14257","CVE-2008-3008","Windows","microsoft","XP"
15,"14261","CVE-2007-5348","Windows","microsoft","XP"
16,"14615","CVE-2007-1681","Solaris","sun","10"
17,"14647","CVE-2008-4038","Windows","microsoft","XP"
18,"14648","CVE-2008-4038","Windows","microsoft","XP"
19,"14649","CVE-2008-4038","Windows","microsoft","XP"
20,"14650","CVE-2008-4038","Windows","microsoft","XP"
21,"14651","CVE-2008-4038","Windows","microsoft","XP"
22,"14652","CVE-2008-4038","Windows","microsoft","XP"
23,"14653","CVE-2008-4038","Windows","microsoft","XP"
24,"14654","CVE-2008-4038","Windows","microsoft","XP"
25,"14661","CVE-2008-1446","Windows","microsoft","XP"
26,"14709","CVE-2008-1446","Windows","microsoft","XP"
27,"14710","CVE-2008-1446","Windows","microsoft","XP"
28,"14711","CVE-2008-1446","Windows","microsoft","XP"
29,"14712","CVE-2008-1446","Windows","microsoft","XP"
30,"14713","CVE-2008-1446","Windows","microsoft","XP"
31,"14714","CVE-2008-1446","Windows","microsoft","XP"
32,"14715","CVE-2008-1446","Windows","microsoft","XP"
33,"14716","CVE-2008-1446","Windows","microsoft","XP"
34,"14717","CVE-2008-1446","Windows","microsoft","XP"
35,"14718","CVE-2008-1446","Windows","microsoft","XP"
36,"14719","CVE-2008-1446","Windows","microsoft","XP"
37,"14720","CVE-2008-1446","Windows","microsoft","XP"
38,"14721","CVE-2008-1446","Windows","microsoft","XP"
39,"14722","CVE-2008-1446","Windows","microsoft","XP"
40,"14723","CVE-2008-1446","Windows","microsoft","XP"
41,"14724","CVE-2008-1446","Windows","microsoft","XP"
42,"14725","CVE-2008-3479","Windows","microsoft","2000"
43,"14726","CVE-2008-3479","Windows","microsoft","2000"
44,"14782","CVE-2008-4250","Windows","microsoft","XP"
45,"14783","CVE-2008-4250","Windows","microsoft","XP"
46,"14896","CVE-2008-4250","Windows","microsoft","XP"
47,"15015","CVE-2008-4250","Windows","microsoft","XP"
48,"15105","CVE-2008-2249","Windows","microsoft","XP"
49,"15116","CVE-2008-4269","Windows","microsoft","Vista"
50,"15196","CVE-2008-4834","Windows","microsoft","XP"
51,"15197","CVE-2008-4834","Windows","microsoft","XP"
52,"15198","CVE-2008-4834","Windows","microsoft","XP"
53,"15199","CVE-2008-4834","Windows","microsoft","XP"
54,"15200","CVE-2008-4834","Windows","microsoft","XP"
55,"15201","CVE-2008-4834","Windows","microsoft","XP"
56,"15202","CVE-2008-4834","Windows","microsoft","XP"
57,"15203","CVE-2008-4834","Windows","microsoft","XP"
58,"15204","CVE-2008-4834","Windows","microsoft","XP"
59,"15205","CVE-2008-4834","Windows","microsoft","XP"
60,"15206","CVE-2008-4834","Windows","microsoft","XP"
61,"15207","CVE-2008-4834","Windows","microsoft","XP"
62,"15208","CVE-2008-4834","Windows","microsoft","XP"
63,"15209","CVE-2008-4834","Windows","microsoft","XP"
64,"15210","CVE-2008-4834","Windows","microsoft","XP"
65,"15211","CVE-2008-4834","Windows","microsoft","XP"
66,"15212","CVE-2008-4835","Windows","microsoft","XP"
67,"15213","CVE-2008-4835","Windows","microsoft","XP"
68,"15214","CVE-2008-4835","Windows","microsoft","XP"
69,"15215","CVE-2008-4835","Windows","microsoft","XP"
70,"15216","CVE-2008-4835","Windows","microsoft","XP"
71,"15217","CVE-2008-4835","Windows","microsoft","XP"
72,"15218","CVE-2008-4835","Windows","microsoft","XP"
73,"15219","CVE-2008-4835","Windows","microsoft","XP"
74,"15220","CVE-2008-4835","Windows","microsoft","XP"
75,"15221","CVE-2008-4835","Windows","microsoft","XP"
76,"15222","CVE-2008-4835","Windows","microsoft","XP"
77,"15223","CVE-2008-4835","Windows","microsoft","XP"
78,"15224","CVE-2008-4835","Windows","microsoft","XP"
79,"15225","CVE-2008-4835","Windows","microsoft","XP"
80,"15226","CVE-2008-4835","Windows","microsoft","XP"
81,"15227","CVE-2008-4835","Windows","microsoft","XP"
82,"15904","CVE-2008-0015","Windows","microsoft","XP"
83,"15905","CVE-2008-0015","Windows","microsoft","XP"
84,"15906","CVE-2008-3276","Linux","linux","2.6"
85,"15907","CVE-2008-3276","Linux","linux","2.6"
86,"15944","CVE-2007-3028","Windows","microsoft","2000"
87,"15946","CVE-2007-3033","Windows","microsoft","Vista"
88,"16001","CVE-2007-0462","Mac OS X","apple","10.x"
89,"16009","CVE-2007-2876","Linux","linux","2.6"
90,"16022","CVE-2007-1658","Windows","microsoft","Vista"
91,"16023","CVE-2007-1658","Windows","microsoft","Vista"
92,"16294","CVE-2008-4609","Linux","linux","2"
93,"16352","CVE-2008-3915","Linux","linux","2.6"
94,"16366","CVE-2010-0018","Windows","microsoft","2000"
95,"16397","CVE-2010-0022","Windows","microsoft","2000"
96,"16398","CVE-2010-0022","Windows","microsoft","2000"
97,"16399","CVE-2010-0022","Windows","microsoft","2000"
98,"16400","CVE-2010-0022","Windows","microsoft","2000"
99,"16401","CVE-2010-0022","Windows","microsoft","2000"
100,"16402","CVE-2010-0022","Windows","microsoft","2000"
101,"16403","CVE-2010-0022","Windows","microsoft","2000"
102,"16404","CVE-2010-0022","Windows","microsoft","2000"
103,"16414","CVE-2010-0027","Windows","microsoft","2000"
104,"16417","CVE-2010-0016","Windows","microsoft","XP"
105,"16419","CVE-2010-0252","Windows","microsoft","2000"
106,"16422","CVE-2010-0028","Windows","microsoft","2000"
107,"16423","CVE-2010-0555","Windows","microsoft","2000"
108,"16452","CVE-2010-0483","Windows","microsoft","2000"
109,"16537","CVE-2010-0268","Windows","microsoft","2000"
110,"16539","CVE-2010-0269","Windows","microsoft","2000"
111,"16541","CVE-2010-0478","Windows","microsoft","2000"
112,"16543","CVE-2010-0480","Windows","microsoft","2000"
113,"16602","CVE-2008-0015","Windows","microsoft","XP"
114,"16724","CVE-2010-1173","Linux","linux","2.6"
115,"17109","CVE-2007-1681","Solaris","sun","10"
116,"17111","CVE-2008-0015","Windows","microsoft","XP"
117,"17128","CVE-2010-2553","Windows","microsoft","Vista"
118,"17252","CVE-2010-2729","Windows","microsoft","Vista"
119,"17302","CVE-2007-2876","Linux","linux","2.6"
120,"17363","CVE-2007-0197","Mac OS X","apple","10.x"
